timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168389.439,34.668,22.949,26.367,35.156,84.961
1711168389.442,1.465,7.812,24.414,41.016,-39.062
1711168389.446,22.461,1.465,20.996,38.574,-55.176
1711168389.450,59.570,9.766,14.648,31.738,-1.953
1711168389.454,0.000,15.137,13.184,27.832,27.344
1711168389.458,0.000,16.602,18.555,31.738,52.734
1711168389.462,0.000,19.043,21.973,39.551,17.578
1711168389.466,0.000,21.484,18.555,30.762,22.461
1711168389.470,0.000,21.484,9.277,14.648,85.449
1711168389.474,0.000,22.949,7.812,20.508,116.211
1711168389.478,0.000,17.578,12.207,34.180,50.781
1711168389.482,0.000,15.137,11.230,33.691,33.203
1711168389.485,0.000,21.973,9.766,30.762,58.594
1711168389.489,0.000,23.926,9.766,33.203,27.344
1711168389.493,0.000,16.602,11.719,29.297,-0.488
1711168389.497,0.000,13.672,14.160,27.344,46.387
1711168389.501,55.176,19.531,12.695,0.000,49.805
1711168389.505,7.324,20.020,8.301,0.000,25.391
1711168389.509,13.672,17.090,8.789,0.000,3.418
1711168389.513,74.707,16.602,12.207,0.000,24.414
1711168389.517,62.500,12.695,16.113,0.000,80.566
1711168389.521,7.324,11.230,16.113,0.000,52.246
1711168389.524,0.000,17.578,12.695,0.000,22.949
1711168389.528,32.715,24.902,14.160,0.000,92.285
1711168389.532,52.734,27.344,13.184,0.000,97.656
1711168389.536,20.996,23.438,12.207,0.000,67.383
1711168389.540,-10.742,19.043,11.719,0.000,24.414
1711168389.544,20.996,22.949,11.230,0.000,25.879
1711168389.548,53.711,23.926,10.254,17.578,47.363
1711168389.552,23.438,18.066,9.766,13.672,45.898
1711168389.556,-20.996,19.531,9.766,16.113,4.395
1711168389.560,4.883,20.020,8.789,21.484,-42.969
1711168389.563,56.641,16.113,6.836,20.020,-9.277
1711168389.567,42.969,15.137,5.859,14.160,62.012
1711168389.571,-14.160,19.531,10.254,10.254,72.266
1711168389.575,-8.789,20.508,13.672,19.531,25.391
1711168389.579,45.410,18.555,11.230,16.113,-19.043
1711168389.583,61.035,22.461,6.836,9.766,21.973
1711168389.587,17.578,27.344,5.371,19.531,89.355
1711168389.591,-5.859,31.250,7.812,25.879,31.250
1711168389.595,-9.766,23.926,11.719,21.973,0.000
1711168389.599,26.855,16.113,14.160,20.508,43.945
1711168389.603,41.504,18.066,14.648,10.254,60.547
1711168389.606,-3.906,15.137,16.113,8.789,21.484
1711168389.610,-31.738,7.324,22.461,16.602,8.789
1711168389.614,12.695,4.883,26.855,17.090,9.277
1711168389.618,50.781,3.418,26.367,12.695,-4.395
1711168389.622,3.418,-2.930,25.879,8.789,31.250
1711168389.626,-36.133,-3.418,23.438,22.461,41.016
1711168389.630,5.859,3.906,24.902,26.855,17.578
1711168389.634,47.363,6.836,20.508,7.812,23.926
1711168389.638,44.922,10.742,17.090,7.324,33.691
1711168389.642,18.066,13.184,20.020,26.367,66.406
1711168389.646,14.160,8.301,18.555,24.902,83.008
1711168389.649,49.316,9.277,18.555,12.207,25.391
1711168389.653,53.711,12.207,20.508,20.020,46.387
1711168389.657,7.812,11.719,18.066,37.598,67.871
1711168389.661,-11.719,16.113,14.648,35.156,62.500
1711168389.665,46.387,20.020,15.137,11.719,20.996
1711168389.669,80.566,20.020,17.090,8.789,-15.137
1711168389.673,21.973,19.531,14.160,29.297,10.254
1711168389.677,-9.277,16.602,14.160,37.598,-35.156
1711168389.681,26.367,16.113,20.020,25.391,13.184
1711168389.685,52.246,19.043,20.996,13.672,27.832
1711168389.689,0.000,17.090,15.625,21.973,3.418
1711168389.692,0.000,16.602,16.113,32.227,94.238
1711168389.696,0.000,13.672,13.672,25.391,94.727
1711168389.700,0.000,14.648,10.254,9.766,42.480
1711168389.704,0.000,19.043,14.648,7.812,22.949
1711168389.708,0.000,16.113,15.137,16.113,6.836
1711168389.712,0.000,12.207,11.230,18.066,-1.465
1711168389.716,0.000,8.789,12.695,20.020,45.410
1711168389.720,0.000,6.348,16.113,22.949,154.297
1711168389.724,0.000,9.766,17.578,35.645,97.656
1711168389.728,0.000,12.695,15.625,45.410,-5.371
1711168389.731,0.000,8.301,9.277,25.391,35.156
1711168389.735,43.945,9.277,0.000,4.883,44.434
1711168389.739,9.766,18.066,0.000,10.742,23.926
1711168389.743,-17.578,20.020,0.000,22.949,20.996
1711168389.747,13.672,13.672,0.000,16.113,7.812
1711168389.751,47.852,14.160,0.000,1.465,23.438
1711168389.755,28.809,22.949,0.000,1.953,9.277
1711168389.759,-12.207,19.531,0.000,17.578,0.977
1711168389.763,-0.488,17.090,0.000,20.020,-14.160
1711168389.767,45.898,16.602,0.000,12.207,19.043
1711168389.771,37.109,12.207,0.000,10.742,46.875
1711168389.774,-15.625,12.207,0.000,12.695,7.324
1711168389.778,-13.184,10.742,0.000,18.555,46.387
1711168389.782,34.180,17.578,-2.441,32.227,67.871
1711168389.786,38.574,20.996,-4.395,22.461,32.715
1711168389.790,-2.930,17.090,-2.441,6.836,27.344
1711168389.794,-22.461,24.902,-0.488,3.418,16.113
1711168389.798,23.926,28.320,1.953,0.977,-18.555
1711168389.802,53.223,27.344,6.836,0.977,19.531
1711168389.806,10.742,31.250,8.789,10.254,15.137
1711168389.810,-34.180,29.297,7.812,20.508,16.602
1711168389.813,-8.301,26.367,5.371,10.742,25.879
1711168389.817,40.527,25.391,1.465,6.836,3.906
1711168389.821,11.230,22.949,-2.441,20.508,82.031
1711168389.825,-33.691,27.832,0.000,30.762,47.363
1711168389.829,-10.254,26.855,0.977,23.438,9.766
1711168389.833,39.551,19.531,5.371,16.602,32.715
1711168389.837,28.809,17.090,5.371,14.160,53.223
1711168389.841,-23.438,22.949,-2.930,9.277,22.461
1711168389.845,-16.602,29.297,-3.418,10.254,28.809
1711168389.849,30.273,24.414,-0.488,-2.930,40.039
1711168389.853,48.828,20.020,1.953,0.488,1.953
1711168389.856,14.648,26.367,4.883,17.578,37.598
1711168389.860,-11.230,33.203,8.301,21.484,42.969
1711168389.864,25.391,32.227,9.277,22.461,22.949
1711168389.868,54.199,26.855,6.836,17.090,27.344
1711168389.872,13.184,28.809,9.277,17.578,-8.301
1711168389.876,0.000,27.832,10.742,18.555,-17.578
1711168389.880,0.000,19.043,5.859,16.602,21.973
1711168389.884,0.000,17.090,3.906,15.625,64.453
1711168389.888,0.000,22.949,3.906,10.254,79.590
1711168389.892,0.000,24.902,5.859,8.789,12.695
1711168389.896,0.000,18.066,5.371,20.996,-28.320
1711168389.899,0.000,17.578,4.395,14.160,21.973
1711168389.903,0.000,26.855,3.418,-11.230,91.797
1711168389.907,0.000,31.738,4.883,-0.977,87.402
1711168389.911,0.000,33.691,6.836,10.254,69.824
1711168389.915,0.000,32.715,4.883,-1.953,19.531
1711168389.919,0.000,27.832,2.930,-4.883,-13.672
1711168389.923,10.254,24.414,5.371,-3.906,39.551
1711168389.927,-1.953,22.461,9.766,5.859,44.922
1711168389.931,33.203,23.438,6.836,11.230,25.391
1711168389.935,58.594,22.461,2.930,11.230,28.809
1711168389.939,43.945,21.484,8.301,24.902,1.953
